Exp or Imp,Year,HS,Country,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
1,2023,'860721000',304,  ,KG,0,89,2492,0,0,0,0,0,0,0,12,464,0,0,0,0,11,237,0,0,0,0,21,750,0,45,1041,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860721000',601,  ,KG,0,94,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1908
1,2023,'860721000',606,  ,KG,0,21,2261,0,0,0,0,2,213,0,0,0,0,0,0,0,0,0,0,0,0,0,8,665,0,0,501,0,0,0,0,11,882,0,0,0,0,0,0
1,2023,'860729000',103,  ,KG,0,731,15047,0,0,0,0,0,0,0,440,10924,0,0,0,0,0,0,0,96,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,3290
1,2023,'860729000',105,  ,KG,0,361,5078,0,0,0,0,0,0,0,80,712,0,0,0,0,51,3186,0,0,0,0,0,0,0,0,0,0,0,0,0,230,1180,0,0,0,0,0,0
1,2023,'860729000',106,  ,KG,0,10748,163439,0,247,4637,0,1532,67146,0,0,0,0,849,5078,0,1525,9122,0,230,1261,0,0,0,0,0,0,0,4011,55301,0,320,9765,0,0,0,0,2034,11129
1,2023,'860729000',108,  ,KG,0,12612,18971,0,3000,4309,0,0,0,0,0,0,0,3000,4309,0,0,0,0,0,0,0,3280,5044,0,0,0,0,0,0,0,3332,5309,0,0,0,0,0,0
1,2023,'860729000',110,  ,KG,0,156,219,0,0,0,0,156,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2023,'860729000',112,  ,KG,0,615,27756,0,0,0,0,55,795,0,0,0,0,357,14905,0,22,2257,0,0,0,0,135,8345,0,0,0,0,46,1454,0,0,0,0,0,0,0,0,0
1,2023,'860729000',118,  ,KG,0,26476,105243,0,0,0,0,0,0,0,0,0,0,665,5100,0,0,0,0,0,0,0,1394,25007,0,9419,22769,0,0,0,0,8478,19198,0,0,0,0,6520,33169
